"country","smokingRatesByCountry_rateBothPct2022","smokingRatesByCountry_rateMalePct2022","smokingRatesByCountry_rateFemalePct2022","smokingRatesByCountry_rateBothPct2021","smokingRatesByCountry_rateMalePct2021","smokingRatesByCountry_rateFemalePct2021","smokingRatesByCountry_rateBothPct2020","smokingRatesByCountry_rateMalePct2020","smokingRatesByCountry_rateFemalePct2020"
"Portugal",25.6,30.5,20.7,25.6,30.7,20.6,25.6,30.9,20.3
"Azerbaijan",19.6,39,0.1,19.9,39.6,0.1,20.2,40.2,0.1
"Greece",32.8,35,30.6,33.3,35.8,30.9,34.2,37,31.5
"Hungary",32.2,36.3,28.1,32.4,36.6,28.3,32.6,36.7,28.5
"Togo",6.4,11.7,1,6.6,12.1,1.1,6.8,12.5,1.2
"Israel",20.4,27,13.8,20.7,27.3,14.2,21.2,27.8,14.5
"Austria",24.9,25.8,24,25.7,26.7,24.7,26.6,27.6,25.5
"Belarus",30.1,46.3,13.9,30.6,47.2,14.1,31.1,48.2,14.1
"Switzerland",25.5,28.2,22.9,25.7,28.5,23,25.8,28.6,23.1
"Sierra Leone",12.9,19.8,5.9,13.5,20.9,6.2,14.3,22.2,6.4
"Laos",27.2,45.4,9,27.8,46.1,9.6,28.7,47.3,10.1
"Turkmenistan",5.6,10.7,0.5,5.8,11.1,0.5,6.1,11.6,0.5
"Kyrgyzstan",27.3,51.3,3.3,27.4,51.4,3.4,27.5,51.6,3.4
"Paraguay",10.7,17.6,3.9,11.2,18.3,4.2,11.7,19,4.4
"Bulgaria",39.5,40.3,38.7,39.8,41.1,38.5,40,41.8,38.1
"Serbia",39.5,39.9,39.1,39.9,40.8,39.1,40.1,41,39.2
"El Salvador",8.9,15.9,1.9,9.1,16.2,1.9,9.3,16.6,2
"Denmark",16.2,16.4,16.1,16.8,17.1,16.6,17.5,17.8,17.2
"Singapore",16.4,27.9,4.9,16.3,27.7,4.9,16.3,27.7,4.9
"Lebanon",34.3,42.9,25.7,34.3,42.8,25.8,34.4,42.7,26.1
"Finland",22.3,26.1,18.5,22.8,26.8,18.8,23.4,27.7,19.1
"Liberia",8.2,14.6,1.9,8.5,15.1,2,8.8,15.6,2.1
"Norway",14.2,14.9,13.5,15,15.7,14.3,15.8,16.6,15.1
"Slovakia",32.4,36.3,28.5,32.3,36.6,28,32.3,37,27.6
"Oman",8.4,16.5,0.4,8.4,16.4,0.4,8.3,16.2,0.4
"Ireland",19.3,21.5,17,19.8,22.1,17.6,20.4,22.5,18.2
"New Zealand",12.2,13.4,11.1,12.8,14,11.6,13.3,14.5,12.1
"Mauritania",9.5,16.9,2,9.8,17.4,2.1,10.2,18.1,2.3
"Costa Rica",8.9,13.2,4.5,9.1,13.6,4.7,9.4,13.9,4.9
"Kuwait",19.9,37.7,2.1,19.9,37.5,2.2,19.9,37.4,2.3
"Panama",5.2,8.4,1.9,5.4,8.8,2,5.6,9.1,2
"Croatia",37,36.7,37.3,36.8,37,36.7,36.7,37.3,36.2
"Georgia",31.8,55.9,7.6,31.8,56.1,7.5,31.9,56.3,7.4
"Mongolia",29.5,51.7,7.2,29.6,51.9,7.3,30,52.6,7.3
"Uruguay",20.5,23.4,17.5,21,24,18,21.5,24.7,18.4
"Bosnia and Herzegovina",36.2,41.6,30.9,36.4,42,30.8,36.8,42.6,31.1
"Qatar",12.5,22.6,2.3,12.5,22.8,2.3,12.5,22.7,2.3
"Moldova",29.7,52.4,7,29.5,52,6.9,29.2,51.6,6.9
"Namibia",14.1,23,5.2,14.5,23.5,5.5,14.9,23.8,5.9
"Armenia",24.9,48.2,1.5,25.3,49,1.6,25.8,49.9,1.6
"Lithuania",31.4,41.1,21.6,31.8,41.8,21.8,32.3,42.5,22
"Jamaica",9.7,15.9,3.5,9.9,16.2,3.6,10.1,16.5,3.8
"Albania",21.9,37.8,6,22.4,38.5,6.2,22.9,39.5,6.4
"Gambia",10.5,20.3,0.7,10.8,20.9,0.7,11.2,21.6,0.8
"Botswana",18.7,30.2,7.2,19.1,30.5,7.7,19.6,31,8.2
"Lesotho",24.3,43.6,5.1,24.7,44,5.4,25,44.2,5.7
"Guinea-Bissau",8.2,15.9,0.6,8.6,16.5,0.7,8.9,17.2,0.7
"Slovenia",20.1,21.8,18.5,20.4,22,18.8,20.6,22.3,18.9
"Latvia",33.9,46.6,21.1,34.3,47.2,21.4,34.7,47.7,21.7
"Bahrain",15,25,5.1,15.2,25.3,5.1,15.4,25.6,5.2
"Timor-Leste",38.7,67,10.5,39.3,67.8,10.8,39.9,68.7,11.1
"Estonia",28.3,33.8,22.8,28.9,34.7,23.1,29.6,35.7,23.5
"Cyprus",35.6,47.2,23.9,35.8,47.8,23.8,35.9,48.3,23.6
"Mauritius",20.9,38.8,3,21.1,39.1,3,21.3,39.6,3.1
"Eswatini",9.5,17.4,1.5,9.6,17.6,1.6,9.7,17.6,1.7
"Fiji",27.6,42,13.2,27.9,42.5,13.3,28,42.7,13.4
"Comoros",17.2,27.7,6.7,17.8,28.3,7.4,18.5,28.9,8.1
"Guyana",11.1,20,2.2,11.7,21,2.3,12.2,22.1,2.4
"Solomon Islands",36.9,54.4,19.4,37.1,54.5,19.6,37.3,54.6,19.9
"Bhutan",18.7,26.2,11.1,19.1,26.5,11.6,19.6,27,12.1
"Luxembourg",23,24.4,21.6,23.3,24.8,21.8,23.5,25.2,21.9
"Montenegro",32,30.9,33.2,32.3,31.3,33.3,32.4,31.5,33.2
"Malta",24.7,26.3,23.2,25.1,26.9,23.3,25.4,27.5,23.3
"Maldives",26.3,42.2,10.4,26.9,43.1,10.8,27.5,43.8,11.2
"Cape Verde",11,16.7,5.2,11.2,17,5.4,11.6,17.5,5.6
"Brunei",16.4,30.7,2.2,16.4,30.5,2.2,16.4,30.4,2.3
"Belize",8.8,15.6,1.9,8.9,16,1.9,9.1,16.2,2
"Bahamas",11.3,20.5,2.1,11.3,20.3,2.2,11.3,20.3,2.3
"Iceland",9.4,9.3,9.4,9.9,9.9,9.9,10.5,10.5,10.4
"Barbados",7,12.2,1.7,7,12.2,1.8,7.1,12.4,1.9
"Sao Tome and Principe",7.8,13.7,2,7.8,13.5,2,7.7,13.4,2.1
"Samoa",22.5,31.6,13.4,23.1,32.5,13.7,23.8,33.4,14.1
"Saint Lucia",13.8,24.7,3,14.1,25.2,3.1,14.3,25.3,3.2
"Kiribati",39.7,52.5,26.8,40.7,53.7,27.7,41.6,54.7,28.5
"Seychelles",20.2,34.7,5.8,20.6,35.1,6.1,20.8,35.3,6.4
"Tonga",31.3,47,15.5,31.3,47.1,15.4,31.5,47.6,15.3
"Andorra",36.3,34.8,37.9,36.1,35,37.3,36,35.3,36.7
"Marshall Islands",29.8,51.2,8.5,29.7,51,8.5,29.6,50.7,8.6
"Palau",17.3,27.1,7.6,17.7,27.6,7.8,18,27.9,8
"Cook Islands",27,31.8,22.2,27.4,32.3,22.6,27.9,32.9,23
"Nauru",48.3,48.6,48.1,48.9,49,48.7,49.4,49.2,49.5
"Tuvalu",33.7,48.2,19.1,34.2,48.9,19.4,34.8,50,19.7
